letter,count_all,count_uppercase,percentage
n,15,5,7.389162561576355
e,30,0,14.77832512315271
w,5,0,2.4630541871921183
s,10,2,4.926108374384237
f,8,2,3.9408866995073892
d,12,0,5.911330049261084
r,11,1,5.41871921182266
a,15,4,7.389162561576355
l,12,1,5.911330049261084
y,10,0,4.926108374384237
g,3,0,1.477832512315271
o,12,0,5.911330049261084
v,6,0,2.955665024630542
i,11,0,5.41871921182266
p,4,3,1.9704433497536946
t,12,1,5.911330049261084
m,4,0,1.9704433497536946
c,2,1,0.9852216748768473
u,6,0,2.955665024630542
j,4,2,1.9704433497536946
k,5,1,2.4630541871921183
h,2,0,0.9852216748768473
b,3,0,1.477832512315271
x,1,0,0.49261083743842365
