letter,count_all,count_uppercase,percentage
n,16,5,7.373271889400922
e,30,0,13.82488479262673
w,6,0,2.7649769585253456
s,11,2,5.0691244239631335
r,12,2,5.529953917050691
a,16,2,7.373271889400922
l,15,2,6.912442396313365
y,11,0,5.0691244239631335
g,4,0,1.8433179723502304
o,14,0,6.451612903225806
d,12,0,5.529953917050691
v,8,0,3.686635944700461
i,12,0,5.529953917050691
p,4,2,1.8433179723502304
t,12,1,5.529953917050691
m,4,0,1.8433179723502304
c,2,0,0.9216589861751152
u,6,0,2.7649769585253456
f,7,2,3.225806451612903
j,4,2,1.8433179723502304
k,5,1,2.3041474654377883
h,2,0,0.9216589861751152
b,3,0,1.3824884792626728
x,1,0,0.4608294930875576
